Valim,Vd,Vg,Vs,Vb,Id,Ig,Is,Ib
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.41611e-40,-8.03455e-44,-1.40196e-40,2.818874e-40,
5.000000e-02,0.000000e+00,5.000000e-02,0.000000e+00,0.000000e+00,8.738816e-15,-1.75268e-14,8.738816e-15,5.708503e-17,
1.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00,8.623853e-15,-1.74161e-14,8.623853e-15,1.808065e-16,
1.500000e-01,0.000000e+00,1.500000e-01,0.000000e+00,0.000000e+00,2.765877e-15,-6.02094e-15,2.765877e-15,4.857005e-16,
2.000000e-01,0.000000e+00,2.000000e-01,0.000000e+00,0.000000e+00,1.081375e-14,-2.28721e-14,1.081375e-14,1.280123e-15,
2.500000e-01,0.000000e+00,2.500000e-01,0.000000e+00,0.000000e+00,3.359865e-14,-7.05496e-14,3.359865e-14,3.368864e-15,
3.000000e-01,0.000000e+00,3.000000e-01,0.000000e+00,0.000000e+00,7.037433e-14,-1.49528e-13,7.037433e-14,8.783530e-15,
3.500000e-01,0.000000e+00,3.500000e-01,0.000000e+00,0.000000e+00,1.253347e-13,-2.73188e-13,1.253347e-13,2.250046e-14,
4.000000e-01,0.000000e+00,4.000000e-01,0.000000e+00,0.000000e+00,2.045735e-13,-4.65636e-13,2.045735e-13,5.640735e-14,
4.500000e-01,0.000000e+00,4.500000e-01,0.000000e+00,0.000000e+00,3.202373e-13,-7.78841e-13,3.202373e-13,1.382919e-13,
5.000000e-01,0.000000e+00,5.000000e-01,0.000000e+00,0.000000e+00,5.021474e-13,-1.33609e-12,5.021474e-13,3.317148e-13,
5.500000e-01,0.000000e+00,5.500000e-01,0.000000e+00,0.000000e+00,7.923603e-13,-2.36316e-12,7.923603e-13,7.783616e-13,
6.000000e-01,0.000000e+00,6.000000e-01,0.000000e+00,0.000000e+00,1.212819e-12,-4.20896e-12,1.212819e-12,1.783353e-12,
6.500000e-01,0.000000e+00,6.500000e-01,0.000000e+00,0.000000e+00,1.781098e-12,-7.53483e-12,1.781098e-12,3.972672e-12,
7.000000e-01,0.000000e+00,7.000000e-01,0.000000e+00,0.000000e+00,2.526736e-12,-1.36009e-11,2.526736e-12,8.547518e-12,
7.500000e-01,0.000000e+00,7.500000e-01,0.000000e+00,0.000000e+00,3.489625e-12,-2.46034e-11,3.489625e-12,1.762401e-11,
8.000000e-01,0.000000e+00,8.000000e-01,0.000000e+00,0.000000e+00,4.718935e-12,-4.40282e-11,4.718935e-12,3.459051e-11,
8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,6.273934e-12,-7.69709e-11,6.273934e-12,6.442300e-11,
9.000000e-01,0.000000e+00,9.000000e-01,0.000000e+00,0.000000e+00,8.225593e-12,-1.30477e-10,8.225593e-12,1.140261e-10,
9.500000e-01,0.000000e+00,9.500000e-01,0.000000e+00,0.000000e+00,1.065864e-11,-2.14102e-10,1.065864e-11,1.927844e-10,
1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.367402e-11,-3.40821e-10,1.367402e-11,3.134729e-10,
